Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities,day_from_jan_first,temp,min,max,stp,wdsp,prcp,fog
1,,Afghanistan,33.0,65.0,2020-01-22,0.0,0.0,22,42.6,33.6,54.9,999.9,9.4,0.0,0
2,,Afghanistan,33.0,65.0,2020-01-23,0.0,0.0,23,42.0,32.7,55.9,999.9,14.9,99.99,1
3,,Afghanistan,33.0,65.0,2020-01-24,0.0,0.0,24,40.1,36.9,43.2,999.9,10.4,0.17,1
4,,Afghanistan,33.0,65.0,2020-01-25,0.0,0.0,25,46.0,37.9,56.3,999.9,6.1,0.57,1
5,,Afghanistan,33.0,65.0,2020-01-26,0.0,0.0,26,42.8,36.1,53.1,999.9,10.8,0.0,1
6,,Afghanistan,33.0,65.0,2020-01-27,0.0,0.0,27,43.0,36.5,50.7,999.9,3.7,0.04,0
7,,Afghanistan,33.0,65.0,2020-01-28,0.0,0.0,28,41.7,34.7,48.2,999.9,2.4,0.0,0
8,,Afghanistan,33.0,65.0,2020-01-29,0.0,0.0,29,15.2,13.3,16.9,774.1,2.4,0.0,0
9,,Afghanistan,33.0,65.0,2020-01-30,0.0,0.0,30,15.2,13.3,16.9,774.1,2.4,0.0,0
10,,Afghanistan,33.0,65.0,2020-01-31,0.0,0.0,31,5.6,4.8,7.7,774.4,1.9,0.0,1
11,,Afghanistan,33.0,65.0,2020-02-01,0.0,0.0,32,5.6,4.8,7.7,774.4,1.9,0.0,1
12,,Afghanistan,33.0,65.0,2020-02-02,0.0,0.0,33,20.5,3.9,36.0,773.4,4.5,1.73,1
13,,Afghanistan,33.0,65.0,2020-02-03,0.0,0.0,34,20.5,3.9,36.0,773.4,4.5,1.73,1
14,,Afghanistan,33.0,65.0,2020-02-04,0.0,0.0,35,4.2,-0.6,12.9,775.4,3.3,0.0,1
15,,Afghanistan,33.0,65.0,2020-02-05,0.0,0.0,36,4.2,-0.6,12.9,775.4,3.3,0.0,1
16,,Afghanistan,33.0,65.0,2020-02-06,0.0,0.0,37,43.1,29.1,58.1,999.9,1.7,0.0,0
17,,Afghanistan,33.0,65.0,2020-02-07,0.0,0.0,38,44.5,31.6,60.3,999.9,5.7,0.0,0
18,,Afghanistan,33.0,65.0,2020-02-08,0.0,0.0,39,47.8,34.5,63.5,999.9,7.7,0.0,0
19,,Afghanistan,33.0,65.0,2020-02-09,0.0,0.0,40,36.9,31.1,42.1,773.3,4.3,0.08,1
20,,Afghanistan,33.0,65.0,2020-02-10,0.0,0.0,41,36.9,31.1,42.1,773.3,4.3,0.08,1
21,,Afghanistan,33.0,65.0,2020-02-11,0.0,0.0,42,39.5,32.7,47.7,771.4,6.7,0.12,1
22,,Afghanistan,33.0,65.0,2020-02-12,0.0,0.0,43,39.0,30.0,46.0,772.2,10.1,0.04,1
23,,Afghanistan,33.0,65.0,2020-02-13,0.0,0.0,44,23.1,13.6,37.8,780.1,5.6,1.81,1
24,,Afghanistan,33.0,65.0,2020-02-14,0.0,0.0,45,24.2,11.3,35.1,779.8,7.2,0.0,0
25,,Afghanistan,33.0,65.0,2020-02-15,0.0,0.0,46,26.3,19.6,35.8,780.7,5.6,0.0,0
26,,Afghanistan,33.0,65.0,2020-02-16,0.0,0.0,47,24.2,17.4,33.1,783.2,4.7,0.0,0
27,,Afghanistan,33.0,65.0,2020-02-17,0.0,0.0,48,32.9,28.2,41.4,782.4,5.9,0.0,0
28,,Afghanistan,33.0,65.0,2020-02-18,0.0,0.0,49,32.8,24.6,46.2,779.3,6.5,0.04,1
29,,Afghanistan,33.0,65.0,2020-02-19,0.0,0.0,50,23.9,16.2,33.1,778.6,5,0.04,1
30,,Afghanistan,33.0,65.0,2020-02-20,0.0,0.0,51,26.0,12.9,38.3,778.5,7.2,0.0,0
31,,Afghanistan,33.0,65.0,2020-02-21,0.0,0.0,52,34.5,22.6,44.4,778.5,6.4,0.0,1
32,,Afghanistan,33.0,65.0,2020-02-22,0.0,0.0,53,37.9,26.4,52.0,781.1,5.6,0.0,1
33,,Afghanistan,33.0,65.0,2020-02-23,0.0,0.0,54,39.3,28.2,50.2,779.4,6.4,0.0,1
34,,Afghanistan,33.0,65.0,2020-02-24,1.0,0.0,55,40.0,32.4,48.0,778.4,4,0.47,1
35,,Afghanistan,33.0,65.0,2020-02-25,1.0,0.0,56,40.2,32.9,47.5,778.1,5.8,0.0,1
36,,Afghanistan,33.0,65.0,2020-02-26,1.0,0.0,57,46.7,35.2,55.9,775.4,6.2,0.0,1
37,,Afghanistan,33.0,65.0,2020-02-27,1.0,0.0,58,39.3,33.4,48.0,772.6,5.8,1.57,1
38,,Afghanistan,33.0,65.0,2020-02-28,1.0,0.0,59,36.5,29.5,44.8,773.4,2.8,0.47,1
39,,Afghanistan,33.0,65.0,2020-02-29,1.0,0.0,60,36.5,29.5,44.8,773.4,2.8,0.47,1
40,,Afghanistan,33.0,65.0,2020-03-01,1.0,0.0,61,58.6,45.7,73.4,999.9,1.4,0.0,0
41,,Afghanistan,33.0,65.0,2020-03-02,1.0,0.0,62,36.3,32.2,48.7,771.7,5.8,0.0,1
42,,Afghanistan,33.0,65.0,2020-03-03,1.0,0.0,63,36.3,32.2,48.7,771.7,5.8,0.0,1
43,,Afghanistan,33.0,65.0,2020-03-04,1.0,0.0,64,35.4,28.4,47.7,771.1,3.4,0.35,1
44,,Afghanistan,33.0,65.0,2020-03-05,1.0,0.0,65,31.9,27.3,38.5,772.6,5.1,1.57,1
45,,Afghanistan,33.0,65.0,2020-03-06,1.0,0.0,66,34.1,25.2,45.0,773.5,4.6,0.0,1
46,,Afghanistan,33.0,65.0,2020-03-07,1.0,0.0,67,25.0,18.1,34.7,774.9,6.6,0.0,1
47,,Afghanistan,33.0,65.0,2020-03-08,4.0,0.0,68,28.6,16.5,42.1,774.7,3.6,0.0,1
48,,Afghanistan,33.0,65.0,2020-03-09,4.0,0.0,69,31.1,23.0,41.9,774.0,4.4,0.0,1
49,,Afghanistan,33.0,65.0,2020-03-10,5.0,0.0,70,28.9,24.3,39.0,773.3,5.3,0.12,1
50,,Afghanistan,33.0,65.0,2020-03-11,7.0,0.0,71,26.7,21.7,32.9,772.3,3.9,0.0,1
51,,Afghanistan,33.0,65.0,2020-03-12,7.0,0.0,72,30.7,16.9,47.7,775.4,2.9,0.0,1
52,,Afghanistan,33.0,65.0,2020-03-13,7.0,0.0,73,35.7,24.3,53.1,778.8,3,0.0,1
53,,Afghanistan,33.0,65.0,2020-03-14,11.0,0.0,74,36.4,26.8,53.4,778.2,5.3,0.0,1
54,,Afghanistan,33.0,65.0,2020-03-15,16.0,0.0,75,40.1,29.3,52.7,777.7,9,0.0,0
55,,Afghanistan,33.0,65.0,2020-03-16,21.0,0.0,76,40.1,29.3,52.7,777.7,9,0.0,0
56,,Afghanistan,33.0,65.0,2020-03-17,22.0,0.0,77,43.8,35.8,56.3,778.5,4.8,0.04,1
57,,Afghanistan,33.0,65.0,2020-03-18,22.0,0.0,78,43.8,35.8,56.3,778.5,4.8,0.04,1
58,,Afghanistan,33.0,65.0,2020-03-19,22.0,0.0,79,45.2,32.0,59.7,775.3,5.3,0.31,1
59,,Afghanistan,33.0,65.0,2020-03-20,24.0,0.0,80,39.4,32.7,43.5,773.2,4.8,1.22,1
60,,Afghanistan,33.0,65.0,2020-03-21,24.0,0.0,81,42.4,34.7,54.3,776.3,2.7,2.2,1
61,,Afghanistan,33.0,65.0,2020-03-22,40.0,1.0,82,44.7,35.8,53.8,775.0,7.5,0.0,1
62,,Afghanistan,33.0,65.0,2020-03-23,40.0,1.0,83,44.7,35.8,53.8,775.0,7.5,0.0,1
63,,Afghanistan,33.0,65.0,2020-03-24,74.0,1.0,84,44.7,35.8,53.8,775.0,7.5,0.0,1
94,,Albania,41.1533,20.1683,2020-01-22,0.0,0.0,22,42.3,31.3,55.8,18.9,0.2,0.0,0
95,,Albania,41.1533,20.1683,2020-01-23,0.0,0.0,23,44.1,34.2,59.4,13.9,0.2,0.0,0
96,,Albania,41.1533,20.1683,2020-01-24,0.0,0.0,24,46.7,32.0,63.0,15.4,0.8,0.0,0
97,,Albania,41.1533,20.1683,2020-01-25,0.0,0.0,25,51.5,42.4,59.0,13.8,0.7,0.0,1
98,,Albania,41.1533,20.1683,2020-01-26,0.0,0.0,26,52.5,49.6,55.8,8.8,0.5,0.06,1
99,,Albania,41.1533,20.1683,2020-01-27,0.0,0.0,27,50.9,49.3,55.0,4.4,2.5,1.38,1
100,,Albania,41.1533,20.1683,2020-01-28,0.0,0.0,28,52.7,48.2,57.2,4.1,1.6,0.08,1
101,,Albania,41.1533,20.1683,2020-01-29,0.0,0.0,29,54.0,50.4,62.2,999.0,1.7,1.1,1
102,,Albania,41.1533,20.1683,2020-01-30,0.0,0.0,30,49.8,43.5,60.4,5.1,1.7,0.39,1
103,,Albania,41.1533,20.1683,2020-01-31,0.0,0.0,31,49.5,37.4,62.6,8.7,1.1,0.0,0
104,,Albania,41.1533,20.1683,2020-02-01,0.0,0.0,32,55.1,49.1,65.1,7.5,1.5,0.01,1
105,,Albania,41.1533,20.1683,2020-02-02,0.0,0.0,33,55.7,50.0,64.4,7.2,1.5,0.0,0
106,,Albania,41.1533,20.1683,2020-02-03,0.0,0.0,34,55.9,46.4,65.1,5.9,1.4,0.0,0
